open_time,open,high,low,close,volume,close_time
2025-09-23 05:48:00+00:00,112791.7,112800.0,112737.1,112737.2,196.701,2025-09-23 05:48:59.999000+00:00
2025-09-23 05:49:00+00:00,112737.1,112737.2,112699.9,112700.0,138.818,2025-09-23 05:49:59.999000+00:00
2025-09-23 05:50:00+00:00,112700.0,112723.0,112594.5,112647.3,420.234,2025-09-23 05:50:59.999000+00:00
2025-09-23 05:51:00+00:00,112647.4,112680.7,112647.4,112680.7,85.15,2025-09-23 05:51:59.999000+00:00
2025-09-23 05:52:00+00:00,112680.7,112680.7,112614.8,112631.1,64.492,2025-09-23 05:52:59.999000+00:00
2025-09-23 05:53:00+00:00,112631.1,112637.0,112582.4,112613.0,136.549,2025-09-23 05:53:59.999000+00:00
2025-09-23 05:54:00+00:00,112613.0,112630.0,112613.0,112629.9,51.31,2025-09-23 05:54:59.999000+00:00
2025-09-23 05:55:00+00:00,112630.0,112640.1,112629.9,112640.0,31.668,2025-09-23 05:55:59.999000+00:00
2025-09-23 05:56:00+00:00,112640.0,112656.5,112640.0,112656.5,25.38,2025-09-23 05:56:59.999000+00:00
2025-09-23 05:57:00+00:00,112656.4,112682.0,112656.4,112682.0,35.758,2025-09-23 05:57:59.999000+00:00
2025-09-23 05:58:00+00:00,112681.9,112682.0,112663.3,112663.4,47.813,2025-09-23 05:58:59.999000+00:00
2025-09-23 05:59:00+00:00,112663.4,112695.9,112614.3,112616.6,139.41,2025-09-23 05:59:59.999000+00:00
2025-09-23 06:00:00+00:00,112616.6,112639.0,112616.6,112639.0,50.075,2025-09-23 06:00:59.999000+00:00
2025-09-23 06:01:00+00:00,112638.9,112679.7,112638.9,112679.6,46.197,2025-09-23 06:01:59.999000+00:00
2025-09-23 06:02:00+00:00,112679.6,112679.7,112634.5,112634.5,40.092,2025-09-23 06:02:59.999000+00:00
2025-09-23 06:03:00+00:00,112634.5,112634.6,112580.3,112580.4,36.994,2025-09-23 06:03:59.999000+00:00
2025-09-23 06:04:00+00:00,112580.3,112580.4,112557.1,112565.4,49.211,2025-09-23 06:04:59.999000+00:00
2025-09-23 06:05:00+00:00,112565.3,112575.0,112560.8,112574.9,41.144,2025-09-23 06:05:59.999000+00:00
2025-09-23 06:06:00+00:00,112575.0,112656.1,112575.0,112654.6,48.212,2025-09-23 06:06:59.999000+00:00
2025-09-23 06:07:00+00:00,112654.6,112710.0,112654.5,112710.0,39.17,2025-09-23 06:07:59.999000+00:00
2025-09-23 06:08:00+00:00,112710.0,112722.1,112701.9,112722.1,35.559,2025-09-23 06:08:59.999000+00:00
2025-09-23 06:09:00+00:00,112722.1,112738.6,112722.0,112738.6,23.187,2025-09-23 06:09:59.999000+00:00
2025-09-23 06:10:00+00:00,112738.6,112738.6,112711.7,112738.5,64.655,2025-09-23 06:10:59.999000+00:00
2025-09-23 06:11:00+00:00,112738.5,112769.1,112738.5,112756.1,67.15,2025-09-23 06:11:59.999000+00:00
2025-09-23 06:12:00+00:00,112756.0,112770.8,112752.7,112761.0,35.954,2025-09-23 06:12:59.999000+00:00
2025-09-23 06:13:00+00:00,112760.9,112799.0,112734.4,112744.2,238.004,2025-09-23 06:13:59.999000+00:00
2025-09-23 06:14:00+00:00,112744.2,112744.2,112683.6,112683.7,45.044,2025-09-23 06:14:59.999000+00:00
2025-09-23 06:15:00+00:00,112683.7,112710.0,112683.7,112692.9,28.013,2025-09-23 06:15:59.999000+00:00
2025-09-23 06:16:00+00:00,112693.0,112710.0,112655.5,112709.9,29.314,2025-09-23 06:16:59.999000+00:00
2025-09-23 06:17:00+00:00,112709.9,112758.1,112709.9,112758.0,17.675,2025-09-23 06:17:59.999000+00:00
2025-09-23 06:18:00+00:00,112758.0,112782.5,112758.0,112778.8,57.42,2025-09-23 06:18:59.999000+00:00
2025-09-23 06:19:00+00:00,112778.9,112789.1,112767.8,112789.0,41.278,2025-09-23 06:19:59.999000+00:00
2025-09-23 06:20:00+00:00,112789.0,112825.4,112789.0,112789.1,61.289,2025-09-23 06:20:59.999000+00:00
2025-09-23 06:21:00+00:00,112789.1,112789.2,112755.2,112762.3,37.755,2025-09-23 06:21:59.999000+00:00
2025-09-23 06:22:00+00:00,112762.2,112800.0,112762.2,112783.1,22.253,2025-09-23 06:22:59.999000+00:00
2025-09-23 06:23:00+00:00,112783.0,112817.2,112783.0,112817.2,28.317,2025-09-23 06:23:59.999000+00:00
2025-09-23 06:24:00+00:00,112817.1,112824.0,112806.7,112824.0,60.616,2025-09-23 06:24:59.999000+00:00
2025-09-23 06:25:00+00:00,112823.9,112830.0,112823.9,112829.9,96.371,2025-09-23 06:25:59.999000+00:00
2025-09-23 06:26:00+00:00,112829.9,112858.0,112829.9,112858.0,70.393,2025-09-23 06:26:59.999000+00:00
2025-09-23 06:27:00+00:00,112857.9,112858.0,112823.0,112836.0,41.557,2025-09-23 06:27:59.999000+00:00
2025-09-23 06:28:00+00:00,112835.9,112857.9,112835.9,112857.9,29.51,2025-09-23 06:28:59.999000+00:00
